Title,Description
"Fideo","This fideo recipe was given to me by my mother in-law. Fideo pasta is toasted, then simmered…"
"Central American Tacos","Wonderful authentic tacos I first tasted in Guatemala at a taco stand. May be a little…"
"Swiss Enchiladas","Fried corn tortillas are filled with a mixture of chicken, green chilies, green chile salsa, and…"
"Churros II","These fried crullers are rolled in cinnamon sugar while still hot. A wonderful treat!"
"Mexican Rice Pilaf","A nice vegetable broth and tomato sauce give this rice pilaf a hearty flavor. Cumin, chili…"
"Ground Beef for Tacos","Browned ground beef, onion, and taco seasoning -- great for tacos or serve it over rice."
"Biscochitos Traditional Cookies","This is New Mexico's traditional cookie. A great thick sugar cookie that is dusted with…"
"No Bull Burritos","These are wonderfully different and so good. I like to serve them with Mexican rice.…"
"Chicken Nachos","Super-simple but totally killer nachos! These chicken nachos are made with tortilla chips…"
"Squash Calabacitas","A light lunch, or serve with cheese and tortillas. Also good as a side dish with your favorite…"
"Taco Seasoning III","A great basic taco seasoning that mimics the commercial packages."
"Mexican Tomato-Flavored Rice","Make light and fluffy tomato-accented rice flavored with onion and garlic powders using…"
"Avocado and Black Eyed Pea Salsa","Serve this festive, colorful salsa salad, made with black-eyed peas, avocado, and white…"
"Mexican Goulash","Fill your kids up with a cheesy, Mexican-inspired mac and beef dish with beans and salsa."
"Easy Mexican Rice","Brown rice is cooked with taco seasoning, kidney beans, tomatoes and lettuce for a sort…"
"Quick Enchilada Sauce","Just mix tomato sauce, tomato paste, and some spices together for a quick and very easy…"
"Easy Taco Rolls","A taco meat mixture is rolled up into flour tortillas and baked in the oven for a few…"
"Spicy Dorito(R) Taco Salad","A slightly spicy taco salad combines lettuce with ground seasoned beef, cheese, beans, and…"
"Breakfast Enchiladas","A hearty breakfast dish that includes hashbrowns, cheese, ham and diced green…"
"Authentic Mexican Enchiladas","This is the real thing! Corn tortillas are dipped in a home made sauce, fried, filled with Mexican…"
"Spicy Albondigas","Meatballs with rice are simmered in a spicy broth with vegetables in a Mexican-style soup."
"Chicken and Black Bean Casserole","I usually make this the day after we have roast chicken. The recipe calls for baking, but the…"
"Vegan Black Bean Quesadillas","These vegan black bean quesadillas replace the traditional cheese filling with pureed great…"
"Salsa Chicken Meatloaf","Light chicken meatloaf made with salsa and seasoned croutons has a bit of…"
"Green Chile Beef Tacos","Beef chuck roast, taco seasoning mix, green salsa, and beef broth are all you need in your…"
"Watermelon Agua Fresca","This is a drink served throughout Mexico. It is made with several different fruits. This is a…"
"Orange and Milk-Braised Pork Carnitas","Chunks of pork shoulder are braised in milk with herbs and orange zest in Chef John's recipe…"
"Pico de Tuna","A low budget, low fat, easy and delicious salsa. You can add as many or as little veggies to…"
"Santa Fe Chicken Salad","This recipe makes four composed salads that are delicious and fun to make. Lettuce is piled…"
"Tex-Mex Corn Chowder","Cream cheese, chicken broth and milk provide the creamy base for this corn chowder…"
"Veggie Fajitas","My family loves these peppery veggie fajitas! Serve the fajitas with flour tortillas, cheddar…"
"Slow Cooker Salsa Chicken","Cook chicken under layers of vegetables and prepared salsa for a simple, flavor-packed…"
"Mexican Grilled Corn","Fresh ears of corn are grilled until browned and smoky, then topped with an ancho chile and…"
"Mexican Blackened Corn","Kernels of sweet corn are blackened in a skillet with a little beer, cumin and cayenne pepper,…"
"Beef Fajitas","Marinated New York steak makes a terrific beef fajita. Serve it warm white corn tortillas, salsa,…"
"Healthier Chicken Enchiladas I","A family favorite, these chicken enchiladas are made healthier by using reduced-fat cheese,…"
"Taco Seasoning (without the chili powder)","The title says it all. If you seek a recipe for taco seasoning that does not use chili powder,…"
"6 Can Chicken Tortilla Soup","Soup doesn't get much more simple than simmering six cans of prepared food together…"
"Corn Chip Salad","All the standard taco salad fixings (ground beef, lettuce, tomatoes and onion) are chopped…"
"Chicana","This is delicious served in tortillas (although a bit saucy) or over rice. It's easy to make and…"
"Delicious Beef Tongue Tacos","This is a really mouth-watering way of making tongue. It practically melts in your mouth.…"
"Salsa Ninety Nine (Mild)","A salsa recipe for those with a tomato and pepper garden. If you prefer a hotter salsa,…"
"Poblano Chile Pepper Soup","This recipe uses roasted poblano chiles. They are fairly spicy and very flavorful."
"Steak Fajitas","Beef strips are marinated for 2 to 4 hours in lime juice with cilantro, then sauteed, and…"
"Chicken Cheddar and Guacamole Burgers","Using ground chicken to make burgers topped with guacamole allows the added flavors of…"
"Arroz Rojo (Mexican Red Rice)","A dish of savory tomato-flavored rice is an authentic side dish for your Mexican meal."
"Super Easy Slow Cooker Chicken Enchilada Meat","This easy slow cooker recipe delivers tender chicken in an enchilada sauce perfect for your…"
"Low-Carb \"Tacos\"","You don't need to sacrifice your taco cravings when watching your carbohydrates thanks to…"
"Monster Sour Cream Enchiladas","Muenster and longhorn cheeses top corn tortillas stuffed with shredded chicken, sour…"
"Mexican Lasagna Chip Dip","I'm not sure why it's called lasagna, but it is very good. A beef and refried bean mixture is…"
"Bean Salad","A spicy bean salad with a kick of lime that is great as a side dish, nacho topping, or all on…"
"Frijoles I","A friend passed this recipe to me. It is a little more work, but worth it for authentic refried…"
"Mexican Style Meatballs","Yummy miniature meatballs in a chipotle tomato sauce. I have been serving these for…"
"Easy Frozen Margaritas","Authentic margaritas call for lots of fresh lime juice - both expensive and time-consuming.…"
"Santa Fe Soup","Browned ground beef is combined with processed cheese, onions, tomatoes, corn…"
"Turkey Tortilla Soup","Cans of green and red enchilada sauce are combined in this turkey and corn tortilla soup…"
"Taco Stew","Ground beef and onions sauteed with a packet of taco seasoning mix are combined in this…"
"Chicken Tortilla Soup in the Slow Cooker","Everyone loves using their slow cooker to make delicious meals easily. This recipe will get you…"
"Bountiful Garden Zucchini Enchiladas","Fresh zucchini and Monterey Jack cheese filled enchiladas make a fabulous vegetarian entree…"
"Bean and Honey Burrito Casserole","Here's a great way to feed burritos to a crowd. Layer chicken, veggies, and a creamy honey…"
"Green Chile Chicken Stew","This stew will keep you warm and cozy on those cold winter days!! I got this recipe together…"
